,quantity,month,city,평균기온(°C),일강수량(mm),일 최심신적설(cm),최대 순간 풍속(m/s),최저 해면기압(hPa),,합계 일조 시간(hr)
186,15100,10,강릉,18.4,0,0,7.5,1008.4,,7.2
187,2100,10,강릉,17.5,0,0,10.3,1015.2,,10.5
188,9650,10,강릉,16.6,0,0,7.6,1018,,10.3
189,79300,10,강릉,15.8,0,0,5.8,1018.8,,9.7
190,100000,10,강릉,16.4,0,0,6.2,1019.1,,10.1
191,116400,10,강릉,18.4,0,0,6.9,1018,,10.5
192,169450,10,강릉,20.4,0.5,0,6.8,1017.5,,10.2
193,177150,10,강릉,19.2,1,0,9.2,1013,,8.6
194,200100,10,강릉,17.9,0,0,6.9,1013.1,,7
195,148050,10,강릉,16.9,4.5,0,8.3,1016.2,,7.4
196,179250,10,강릉,13.3,7,0,3.9,1021.7,,0.1
197,191250,10,강릉,15.5,0,0,8.4,1015.8,,0.1
198,226300,10,강릉,19,0,0,11.1,1013.4,,8.5
199,390250,10,강릉,13.5,0,0,8,1024.4,,9.7
200,254800,10,강릉,13.6,0,0,4.8,1011.4,,3
201,252250,10,강릉,15.4,0,0,11.8,1004.5,,4.8
202,251500,10,강릉,12.5,0,0,12.4,1013.5,,9.5
203,270750,10,강릉,10.9,0,0,9.3,1018.7,,10.1
204,244000,10,강릉,8.6,0,0,8.3,1021.4,,10
205,331450,10,강릉,6.8,0,0,6,1027.4,,10
206,514450,11,강릉,10.5,0,0,6.9,1021.2,,6.1
207,629050,11,강릉,13.7,0,0,8.2,1018.4,,8.8
208,801800,11,강릉,14.1,0,0,8.7,1022.8,,9.9
209,912150,11,강릉,15.6,0,0,9.3,1024.1,,10
210,801450,11,강릉,15.8,0,0,8.2,1022.5,,8.1
211,897750,11,강릉,11.7,2.5,0,7.8,1027.2,,0
212,779700,11,강릉,11.8,66,0,9.2,1022.6,,0.1
213,1394800,11,강릉,11.3,62.5,0,9,1018.1,,0.1
214,1161100,11,강릉,11.2,16.5,0,7.3,1016.2,,0.1
215,1292200,11,강릉,11.4,0.5,0,5.6,1020.4,,1.8
216,888050,11,강릉,10.5,11.5,0,6.8,1026.6,,0.9
217,1137750,11,강릉,11.9,3.5,0,2.8,1030.8,,0
218,908850,11,강릉,11.7,30.5,0,4.1,1016.9,,0
219,1254650,11,강릉,13.1,28,0,8.8,1013.1,,0.2
220,1872150,11,강릉,13.4,0,0,5.7,1017.1,,5.8
221,1338450,11,강릉,13,3.5,0,7.1,1016.5,,0.9
222,1210650,11,강릉,11.8,0.5,0,6,1016.6,,0.5
223,1076050,11,강릉,9.1,18,0,8.4,1023.5,,0
224,1446200,11,강릉,8.9,0.3,0,3.8,1022.1,,0
225,1374300,11,강릉,10.6,0.5,0,4.9,1021,,8.3
226,1481550,11,강릉,10,0,0,5.7,1025.4,,3.7
227,1363700,11,강릉,9.5,43.5,0,8.1,1028.9,,0
228,1604500,11,강릉,8,24,0,8.1,1024.2,,0
229,1494400,11,강릉,5.4,22,0,8.8,1024,,0
230,1600450,11,강릉,4.1,15,0,7,1012.3,,0
231,1216950,11,강릉,1.7,0,0,14.8,1009.1,,8.8
232,1354950,11,강릉,1.5,0,0,14.2,1014.2,,8.1
233,1489300,11,강릉,3.8,0,0,11.5,1025.1,,5.4
234,1621800,11,강릉,4.7,0,0,8,1021.2,,1.5
235,1543550,11,강릉,7.7,0.1,0,9.8,1019.7,,8.6
236,1211050,12,강릉,5.6,0,0,7.3,1022.9,,8.9
237,1433050,12,강릉,8.8,0,0,13.1,1008.6,,3.1
238,1126800,12,강릉,3,0.1,0,12.4,1005.9,,6.4
239,1013700,12,강릉,2,0,0,17.1,1009.5,,8.9
240,1328800,12,강릉,7.1,0,0,11.4,1017.4,,8.7
241,1577700,12,강릉,4.9,0,0,6.8,1025.8,,5.4
242,1456300,12,강릉,5.7,0,0,6,1029.8,,0
243,1247850,12,강릉,6.4,0,0,5.4,1030.5,,3.3
244,1115700,12,강릉,10.2,0,0,10.3,1026.5,,6
245,1107200,12,강릉,10.2,0,0,5.9,1014.5,,1.4
246,965150,12,강릉,5.7,8.5,0,10.9,1013.8,,3.2
247,1101600,12,강릉,4.2,0,0,6.3,1024.4,,5
248,1488750,12,강릉,5.4,0,0,7.2,1023.9,,2.6
249,1296250,12,강릉,7.2,0.1,0,3.9,1017.8,,0
250,1141700,12,강릉,7.9,0.1,0,10.7,1014.1,,5.5
251,955900,12,강릉,3,0,0,13.6,1013.1,,8.6
252,928150,12,강릉,-0.8,0,0,9.2,1018.9,,8.9
