year,month,day,week,quantity,quantityrate,times,timerate,city
2015,1,1,5,152331884.0,141.78,39630.0,141.07,서울
2015,1,2,6,271110094.0,56.18,44805.0,52.53,서울
2015,1,3,7,224636785.0,52.23,42471.0,48.6,서울
2015,1,4,1,188404451.0,55.2,50462.0,53.42,서울
2015,1,5,2,353658287.0,70.14,52709.0,64.57,서울
2015,1,6,3,306610176.0,55.6,43333.0,52.94,서울
2015,1,7,4,223567637.0,51.66,43340.0,52.67,서울
2015,1,8,5,236716162.0,52.93,46394.0,53.57,서울
2015,1,9,6,228134838.0,52.66,44608.0,55.23,서울
2015,1,10,7,179530449.0,50.3,40885.0,50.18,서울
2015,1,11,1,170467497.0,55.99,47631.0,53.96,서울
2015,1,12,2,337732099.0,73.17,51614.0,67.74,서울
2015,1,13,3,292062735.0,59.38,46186.0,59.32,서울
2015,1,14,4,228338687.0,57.36,45211.0,58.94,서울
2015,1,15,5,244055412.0,60.3,48155.0,61.81,서울
2015,1,16,6,223694560.0,56.5,43455.0,59.69,서울
2015,1,17,7,177492795.0,54.96,39901.0,56.17,서울
2015,1,18,1,158072837.0,67.81,47298.0,64.87,서울
2015,1,19,2,328792021.0,78.54,51870.0,73.32,서울
2015,1,20,3,280938572.0,63.5,45843.0,65.55,서울
2015,1,21,4,229193849.0,61.86,45606.0,66.94,서울
2015,1,22,5,238023888.0,63.53,47766.0,66.52,서울
2015,1,23,6,227895849.0,64.8,44917.0,67.86,서울
2015,1,24,7,177147994.0,61.13,42436.0,61.85,서울
2015,1,25,1,157641194.0,68.85,45182.0,65.86,서울
2015,1,26,2,328421173.0,85.88,54868.0,83.89,서울
2015,1,27,3,287468012.0,65.65,44370.0,66.6,서울
2015,1,28,4,227350171.0,66.02,43782.0,71.59,서울
2015,1,29,5,240085853.0,68.28,47084.0,71.26,서울
2015,1,30,6,216098871.0,62.56,42791.0,67.35,서울
2015,1,31,7,184522892.0,65.26,40312.0,64.14,서울
2015,2,1,1,169899846.0,50.92,49124.0,53.38,서울
